,unnamed: 0,item_id,name,categori,price,old_pric,sellable_onlin,link,other_color,short_descript,design,depth,height,width,product_img,unnamed: 15
20,3604,29541941,alex,chests of drawers & drawer unit,375,no old pric,true,https://www.ikea.com/sa/en/p/alex-storage-unit-on-castors-white-black-s29541941/,ye,"storage unit on castors, white/black,",unknown,,,,https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-white-black__1223401_pe914630_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-white-black__1232990_pe916619_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-white-black__1209814_pe909457_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-on-castors-white-black__1223608_pe914652_s5.jpg?f=,
21,3563,50563752,alex,chests of drawers & drawer unit,345,no old pric,true,https://www.ikea.com/sa/en/p/alex-storage-unit-white-50563752/,ye,"storage unit, white,",ikea of sweden,58.0,70.0,36.0,https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1209817_pe909458_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1216045_pe912308_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1256088_ph193652_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1209814_pe909457_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1209816_pe909459_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1209815_pe909460_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/alex-storage-unit-white__1197747_pe903722_s5.jpg?f=,
22,2630,29417710,anfallare / hilv,tables & desk,"1,095",no old pric,true,https://www.ikea.com/sa/en/p/anfallare-hilver-desk-bamboo-s29417710/,no,"desk, bamboo,",unknown,,,,https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__0976194_pe813091_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__0977787_pe813771_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__0734625_pe739544_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__1053803_pe847233_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__1028389_pe835324_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__1160010_pe888698_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__1015212_pe829925_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-hilver-desk-bamboo__1045393_pe842601_s5.jpg?f=,
23,2846,89417707,anfallare / kril,tables & desk,835,no old pric,true,https://www.ikea.com/sa/en/p/anfallare-krille-desk-bamboo-white-s89417707/,ye,"desk, bamboo/white,",unknown,,,,https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__0976195_pe813088_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__0977787_pe813771_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__80325_pe204596_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__1053474_pe846961_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__1053473_pe846962_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__1160011_pe888699_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__1015214_pe829927_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-krille-desk-bamboo-white__1045395_pe842602_s5.jpg?f=,
24,2628,19417739,anfallare / tillslag,tables & desk,785,no old pric,true,https://www.ikea.com/sa/en/p/anfallare-tillslag-desk-bamboo-white-s19417739/,ye,"desk, bamboo/white,",unknown,,,,https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__0976205_pe813095_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__0977787_pe813771_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__0973511_pe812048_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__1160016_pe888701_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__1016777_pe857281_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallare-tillslag-desk-bamboo-white__0985504_pe816655_s5.jpg?f=,
25,2827,40501646,anfallszon,tables & desk,425,199,true,https://www.ikea.com/sa/en/p/anfallszon-screen-for-desk-transparent-white-40501646/,no,"screen for desk, transparent/white,",ikea of sweden,,650.0,750.0,https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0952998_pe802269_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0952965_pe802261_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0945419_pe797666_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0953810_pe802929_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0953811_pe802928_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0953809_pe802930_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/anfallszon-screen-for-desk-transparent-white__0953808_pe802927_s5.jpg?f=,
26,802,10469186,angersbi,sofa,"1,295",no old pric,true,https://www.ikea.com/sa/en/p/angersby-2-seat-sofa-knisa-light-grey-10469186/,no,"2-seat sofa, knisa light grey",unknown,49.0,46.0,120.0,https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0770896_pe755642_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0944427_pe797252_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0788148_pe763488_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0788147_pe763489_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0788146_pe763487_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/angersby-2-seat-sofa-knisa-light-grey__0970313_pe811023_s5.jpg?f=,
27,3809,80426928,antilop,nursery furnitur,30,30,true,https://www.ikea.com/sa/en/p/antilop-cover-blue-red-80426928/,no,"cover, blue/r",s edholm/l ulleniu,26.0,2.0,21.0,https://www.ikea.com/sa/en/images/products/antilop-cover-blue-red__0709375_pe726948_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/antilop-cover-blue-red__0873460_pe726947_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/antilop-cover-blue-red__0873456_pe726946_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/antilop-cover-blue-red__0873468_pe726950_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/antilop-cover-blue-red__0873464_pe726949_s5.jpg?f=,
28,3899,50489856,antilop,nursery furnitur,30,59,true,https://www.ikea.com/sa/en/p/antilop-highchair-tray-light-blue-50489856/,no,"highchair tray, light blu",ikea of sweden,42.0,,42.0,https://www.ikea.com/sa/en/images/products/antilop-highchair-tray-light-blue__0653955_pe708192_s5.jpg?f=,
29,3901,70489855,antilop,nursery furnitur,30,59,true,https://www.ikea.com/sa/en/p/antilop-highchair-tray-pink-70489855/,no,"highchair tray, pink",ikea of sweden,42.0,,42.0,https://www.ikea.com/sa/en/images/products/antilop-highchair-tray-pink__0594144_pe675510_s5.jpg?f=,
30,3855,40076093,antilop,nursery furnitur,20,59,true,https://www.ikea.com/sa/en/p/antilop-highchair-tray-white-40076093/,no,"highchair tray, whit",ikea of sweden,42.0,,42.0,https://www.ikea.com/sa/en/images/products/antilop-highchair-tray-white__0727943_pe735950_s5.jpg?f=,
31,3857,49406372,antilop,nursery furnitur,129,no old pric,true,https://www.ikea.com/sa/en/p/antilop-highchair-with-tray-pink-silver-colour-s49406372/,no,"highchair with tray, pink/silver-colour",unknown,,,,https://www.ikea.com/sa/en/images/products/antilop-highchair-with-tray-pink-silver-colour__0610891_pe685157_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/antilop-highchair-with-tray-pink-silver-colour__1062061_pe850641_s5.jpg?f=,
