ID,Name,Brand,Designer,Availability,Online,Description,Type,Material,Country,Color,Depth,Height,Width,Volumn,OldPrice,Price,ChangeAmount,Discount,CurrentPrice,Shipment,Link,Images,Feedback,Ranking
19257509,EKTORP,EKTORP,IKEA of Sweden,TRUE,TRUE,        3-seat sofa,Sofas & armchairs,,,,,88,252,0,,2345,,,,,https://www.ikea.com/sa/en/p/ektorp-3-seat-sofa-with-chaise-longue-lingbo-multicolour-s19257509/,,0,0
99096013,PAX,PAX,IKEA of Sweden/Ebba Strandmark/Ehlén Johansson,TRUE,TRUE,"        Wardrobe,          200x60x236 cm",Wardrobes,,,,60,236,200,2832000,,2415,,,,,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-undredal-black-s99096013/,,0,0
30417870,VALLENTUNA,VALLENTUNA,IKEA of Sweden,TRUE,TRUE,        Cover for seat module with storage,Sofas & armchairs,,,,,,,0,,116,,,,,https://www.ikea.com/sa/en/p/vallentuna-cover-for-seat-module-with-storage-orrsta-olive-green-30417870/,,0,0
60347507,ENERYDA,ENERYDA,Francis Cayouette,TRUE,TRUE,"        Knob,          35 mm",TV & media furniture,,,,,,,0,,35,,,,,https://www.ikea.com/sa/en/p/eneryda-knob-brass-colour-60347507/,,0,0
29300852,BESTÅ,BESTÅ,Marcus Arvonen/IKEA of Sweden,TRUE,TRUE,"        Storage combination w glass doors,          60x42x193 cm",Cabinets & cupboards,,,,42,193,60,486360,,965,,,,,https://www.ikea.com/sa/en/p/besta-storage-combination-w-glass-doors-grey-stained-walnut-effect-lappviken-grey-stained-walnut-eff-clear-glass-s29300852/,,0,0
30135658,GLENN,GLENN,Marcus Arvonen,TRUE,TRUE,"        Bar stool,          77 cm",Bar furniture,,,,52,100,50,260000,,445,,,,,https://www.ikea.com/sa/en/p/glenn-bar-stool-white-chrome-plated-30135658/,,0,0
49297274,NORRÅKER / NORRÅKER,NORRÅKER / NORRÅKER,J Karlsson/N Karlsson,TRUE,TRUE,"        Bar table and 2 bar stools,          74 cm",Bar furniture,,,,,,,0,,1266,,,,,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-birch-black-s49297274/,,0,0
29286894,PAX,PAX,IKEA of Sweden/Ehlén Johansson,TRUE,TRUE,"        Wardrobe,          100x60x201 cm",Wardrobes,,,,60,201,100,1206000,,1600,,,,,https://www.ikea.com/sa/en/p/pax-wardrobe-black-brown-forsand-black-brown-stained-ash-effect-s29286894/,,0,0
9017826,BILLY,BILLY,Gillis Lundgren,TRUE,TRUE,"        Bookcase,          240x28x106 cm",Bookcases & shelving units,,,,28,106,240,712320,,345,,,,,https://www.ikea.com/sa/en/p/billy-bookcase-white-s09017826/,,0,0
70370352,MOSSARYD,MOSSARYD,Francis Cayouette,TRUE,TRUE,"        Drop handle,          49 mm",Cabinets & cupboards,,,,18,,,0,,29,,,,,https://www.ikea.com/sa/en/p/mossaryd-drop-handle-stainless-steel-colour-70370352/,,0,0
19278502,GRÖNLID,GRÖNLID,IKEA of Sweden/Francis Cayouette/Ehlén Johansson,TRUE,TRUE,        3-seat sofa-bed,Sofas & armchairs,,,,164,104,277,4724512,,5040,,,,,https://www.ikea.com/sa/en/p/groenlid-3-seat-sofa-bed-with-chaise-longue-ljungen-light-green-s19278502/,,0,0
50419972,JONAXEL,JONAXEL,IKEA of Sweden,TRUE,TRUE,"        Shelving unit,          80x38x160 cm",Bookcases & shelving units,,,,38,160,80,486400,,175,,,,,https://www.ikea.com/sa/en/p/jonaxel-shelving-unit-white-50419972/,,0,0
89330653,PAX / MEHAMN/AULI,PAX / MEHAMN/AULI,IKEA of Sweden/Ehlén Johansson,TRUE,TRUE,"        Wardrobe combination,          200x66x236 cm",Wardrobes,,,,66,236,200,3115200,,2045,,,,,https://www.ikea.com/sa/en/p/pax-mehamn-auli-wardrobe-combination-black-brown-mirror-glass-s89330653/,,0,0
89227873,PAX,PAX,Ehlén Johansson/IKEA of Sweden,TRUE,TRUE,"        Wardrobe,          150x58x201 cm",Wardrobes,,,,58,201,150,1748700,,1499,,,,,https://www.ikea.com/sa/en/p/pax-wardrobe-white-s89227873/,,0,0
70367444,SONGESAND,SONGESAND,IKEA of Sweden,TRUE,TRUE,"        Bedside table,          42x40 cm",Tables & desks,,,,40,55,42,92400,,155,,,,,https://www.ikea.com/sa/en/p/songesand-bedside-table-brown-70367444/,,0,0
79286896,BEKANT,BEKANT,IKEA of Sweden/Eva Lilja Löwenhielm,TRUE,TRUE,"        Storage unit with smart lock,          41x101 cm",Cabinets & cupboards,,,,45,101,41,186345,,1200,,,,,https://www.ikea.com/sa/en/p/bekant-storage-unit-with-smart-lock-mesh-black-s79286896/,,0,0
340759,EKEDALEN,EKEDALEN,Ehlén Johansson,TRUE,TRUE,"        Bar table,          120x80 cm",Tables & desks,,,,,105,80,0,,995,,,,,https://www.ikea.com/sa/en/p/ekedalen-bar-table-white-00340759/,,0,0
89276590,ALGOT,ALGOT,Francis Cayouette,TRUE,TRUE,"        Wall upright/mesh baskets,          65x41x197 cm",Bookcases & shelving units,,,,41,197,65,525005,,245,,,,,https://www.ikea.com/sa/en/p/algot-wall-upright-mesh-baskets-white-s89276590/,,0,0
30446373,SLATTUM,SLATTUM,David Wahl,TRUE,TRUE,"        Upholstered bed frame,          140x200 cm",Beds,,,,,,144,0,,595,,,,,https://www.ikea.com/sa/en/p/slattum-upholstered-bed-frame-knisa-light-grey-30446373/,,0,0
9227532,ÄPPLARÖ,ÄPPLARÖ,IKEA of Sweden/K Hagberg/M Hagberg,TRUE,TRUE,"        2-seat modular sofa, outdoor,          160x80x73 cm",Outdoor furniture,,,,80,73,160,934400,,1588,,,,,https://www.ikea.com/sa/en/p/aepplaroe-2-seat-modular-sofa-outdoor-brown-stained-kungsoe-white-white-s09227532/,,0,0
