Unnamed: 0,item_id,name,category,price,old_price,sellable_online,link,other_colors,short_description,designer,depth,height,width
2476,70292397,LANDSKRONA,Sofas & armchairs,100,No old price,TRUE,https://www.ikea.com/sa/en/p/landskrona-leg-wood-70292397/,No,"        Leg,          15 cm",IKEA of Sweden,,15,
1511,79161486,MELLTORP / ADDE,Chairs,359,No old price,TRUE,https://www.ikea.com/sa/en/p/melltorp-adde-table-and-4-chairs-white-black-s79161486/,No,"        Table and 4 chairs,          125 cm",Marcus Arvonen/Lisa Norinder,,72,75
1885,40454367,ANTILOP,Nursery furniture,20,No old price,TRUE,https://www.ikea.com/sa/en/p/antilop-cover-grey-yellow-40454367/,No,        Cover,S Edholm/L Ullenius,,,
2382,9276971,VALLENTUNA,Sofas & armchairs,1468,"SR 1,835",TRUE,https://www.ikea.com/sa/en/p/vallentuna-seat-module-with-backrest-hillared-dark-grey-s09276971/,Yes,        Seat module with backrest,Fredriksson/L Löwenhielm/Hilland,93,84,113
2298,40344500,STOCKHOLM 2017,Sofas & armchairs,5436,"SR 6,795",TRUE,https://www.ikea.com/sa/en/p/stockholm-2017-three-seat-sofa-sandbacka-dark-blue-40344500/,Yes,        Three-seat sofa,Ola Wihlborg,112,72,228
3473,39252756,STUVA / FRITIDS,Wardrobes,425,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-fritids-wardrobe-white-white-s39252756/,Yes,"        Wardrobe,          60x50x128 cm",IKEA of Sweden/Ebba Strandmark,50,128,60
1048,30443628,GLASSVIK,Cabinets & cupboards,195,No old price,TRUE,https://www.ikea.com/sa/en/p/glassvik-glass-door-dark-red-brown-clear-glass-30443628/,Yes,"        Glass door,          60x64 cm",IKEA of Sweden,,64,60
2618,20405085,LIDHULT,Sofas & armchairs,3196,"SR 3,995",TRUE,https://www.ikea.com/sa/en/p/lidhult-3-seat-section-grann-bomstad-dark-brown-20405085/,No,        3-seat section,Henrik Preutz,98,95,211
3413,60322856,BERGHALLA,TV & media furniture,22,No old price,TRUE,https://www.ikea.com/sa/en/p/berghalla-handle-grey-60322856/,Yes,"        Handle,          56 mm",H Preutz/A Fredriksson,32,,9
2754,40217069,INGATORP,Tables & desks,1445,No old price,TRUE,https://www.ikea.com/sa/en/p/ingatorp-extendable-table-white-40217069/,Yes,"        Extendable table,          110/155 cm",Carina Bengs,,74,
1957,40332682,BROMMÖ,Outdoor furniture,205,No old price,TRUE,https://www.ikea.com/sa/en/p/brommoe-lounger-outdoor-black-brown-stained-brown-40332682/,No,"        Lounger, outdoor",IKEA of Sweden,92,89,48
237,9278569,GRÖNLID,Beds,6110,No old price,TRUE,https://www.ikea.com/sa/en/p/groenlid-corner-sofa-bed-4-seat-with-open-end-sporda-natural-s09278569/,Yes,"        Corner sofa-bed, 4-seat",Ehlén Johansson/Francis Cayouette/IKEA of Sweden,98,104,235
1288,50357785,UTTER,Chairs,25,No old price,TRUE,https://www.ikea.com/sa/en/p/utter-childrens-stool-in-outdoor-white-50357785/,No,        Children's stool,K Hagberg/M Hagberg,,,
2295,9251961,HAVSTEN,Sofas & armchairs,2025,No old price,TRUE,https://www.ikea.com/sa/en/p/havsten-2-seat-sofa-in-outdoor-with-open-end-without-armrests-beige-s09251961/,No,"        2-seat sofa, in/outdoor,          164x94x90 cm",Andreas Fredriksson,94,90,164
1133,59297184,EKOLSUND,Chairs,1395,No old price,TRUE,https://www.ikea.com/sa/en/p/ekolsund-recliner-gunnared-light-brown-pink-s59297184/,Yes,        Recliner,Anna Palleschitz,94,97,85
2407,19105714,NORSBORG,Sofas & armchairs,1020,"SR 1,275",TRUE,https://www.ikea.com/sa/en/p/norsborg-cover-for-4-seat-sofa-with-chaise-longues-finnsta-finnsta-white-s19105714/,Yes,        Cover for 4-seat sofa,Ehlén Johansson,,,
2522,19289911,LIDHULT,Sofas & armchairs,2195,No old price,TRUE,https://www.ikea.com/sa/en/p/lidhult-3-seat-section-gassebol-light-beige-s19289911/,Yes,        3-seat section,Henrik Preutz,98,95,211
163,90338403,LÖVA,Beds,55,No old price,TRUE,https://www.ikea.com/sa/en/p/loeva-bed-canopy-green-90338403/,No,        Bed canopy,A Huldén/S Dahlman,,,90
1578,69161552,RYDEBÄCK/BACKARYD / JANINGE,Chairs,1395,"SR 1,450",TRUE,https://www.ikea.com/sa/en/p/rydebaeck-backaryd-janinge-table-and-4-chairs-white-white-s69161552/,No,"        Table and 4 chairs,          150 cm",David Wahl/IKEA of Sweden/John/Jonas/Petrus/Paul/Caroline,,75,78
252,39180566,STUVA / FÖLJA,Beds,985,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-foelja-cot-with-drawers-white-s39180566/,No,"        Cot with drawers,          60x120 cm",Ebba Strandmark,,86,66
1564,49103247,LISABO / JANINGE,Chairs,1595,No old price,TRUE,https://www.ikea.com/sa/en/p/lisabo-janinge-table-and-4-chairs-ash-veneer-white-s49103247/,No,"        Table and 4 chairs,          140x78 cm",K Hagberg/M Hagberg/John/Jonas/Petrus/Paul/Caroline,,74,78
3283,50413526,HEMNES,TV & media furniture,995,No old price,TRUE,https://www.ikea.com/sa/en/p/hemnes-tv-bench-white-stain-light-brown-50413526/,Yes,"        TV bench,          148x47x57 cm",Carina Bengs,47,57,148
1667,40196241,ALEX,Chests of drawers & drawer units,545,No old price,TRUE,https://www.ikea.com/sa/en/p/alex-drawer-unit-on-castors-white-40196241/,Yes,"        Drawer unit on castors,          67x66 cm",Johanna Asshoff,48,66,67
930,415194,HAVSTA,Cabinets & cupboards,1295,No old price,TRUE,https://www.ikea.com/sa/en/p/havsta-glass-door-cabinet-grey-00415194/,Yes,"        Glass-door cabinet,          121x35x123 cm",IKEA of Sweden,35,123,121
3392,60443622,BESTÅ,TV & media furniture,150,No old price,TRUE,https://www.ikea.com/sa/en/p/besta-top-panel-concrete-effect-light-grey-60443622/,No,"        Top panel,          120x42 cm",IKEA of Sweden,42,,120
1455,80418056,POÄNG,Chairs,134,No old price,TRUE,https://www.ikea.com/sa/en/p/poaeng-childrens-armchair-frame-birch-veneer-80418056/,No,        Children's armchair frame,Noboru Nakamura,56,68,47
1777,60305705,BUSUNGE,Children's furniture,395,No old price,TRUE,https://www.ikea.com/sa/en/p/busunge-chest-of-2-drawers-white-60305705/,No,"        Chest of 2 drawers,          80x75 cm",Carl Öjerstam,40,75,80
2250,19254780,GRÖNLID,Sofas & armchairs,1795,No old price,TRUE,https://www.ikea.com/sa/en/p/groenlid-2-seat-sofa-inseros-white-s19254780/,Yes,        2-seat sofa,Ehlén Johansson/Francis Cayouette,98,104,177
3475,79180593,PAX,Wardrobes,1590,No old price,TRUE,https://www.ikea.com/sa/en/p/pax-wardrobe-white-hasvik-white-s79180593/,Yes,"        Wardrobe,          200x66x236 cm",Ehlén Johansson/IKEA of Sweden,66,236,200
3093,20368714,NORDVIKEN,Tables & desks,1495,No old price,TRUE,https://www.ikea.com/sa/en/p/nordviken-extendable-table-black-20368714/,Yes,"        Extendable table,          152/223x95 cm",Francis Cayouette,,75,95
2103,80391716,FRÖSÖN,Outdoor furniture,14.4,SR 24,TRUE,https://www.ikea.com/sa/en/p/froesoen-cover-for-chair-cushion-outdoor-dark-grey-80391716/,Yes,"        Cover for chair cushion,          35 cm",Eva Lilja Löwenhielm,,,
1090,29282532,BEKANT,Cabinets & cupboards,1105,No old price,TRUE,https://www.ikea.com/sa/en/p/bekant-storage-unit-on-castors-mesh-black-s29282532/,Yes,"        Storage unit on castors,          41x101 cm",Eva Lilja Löwenhielm,45,101,41
2942,49285817,EKET,Tables & desks,94,No old price,TRUE,https://www.ikea.com/sa/en/p/eket-wall-mounted-shelving-unit-white-s49285817/,Yes,"        Wall-mounted shelving unit,          35x35x35 cm",Jon Karlsson/IKEA of Sweden,35,35,35
3433,50323597,BILLSBRO,TV & media furniture,35,No old price,TRUE,https://www.ikea.com/sa/en/p/billsbro-handle-stainless-steel-colour-50323597/,No,"        Handle,          320 mm",H Preutz/A Fredriksson,,,
1181,40202746,MALINDA,Chairs,25,SR 30,TRUE,https://www.ikea.com/sa/en/p/malinda-chair-cushion-red-40202746/,No,"        Chair cushion,          40/35x38x7 cm",IKEA of Sweden,38,,
593,30236153,ORRNÄS,Bookcases & shelving units,17,No old price,TRUE,https://www.ikea.com/sa/en/p/orrnaes-knob-stainless-steel-colour-stainless-steel-30236153/,No,"        Knob,          17 mm",IKEA of Sweden,30,,17
677,19221087,EKET,Bookcases & shelving units,1218,"SR 1,277",TRUE,https://www.ikea.com/sa/en/p/eket-cabinet-combination-with-feet-white-light-grey-s19221087/,Yes,"        Cabinet combination with feet,          140x35x212 cm",IKEA of Sweden/Jon Karlsson,35,212,140
41,79241940,NORRÅKER / NORRÅKER,Bar furniture,1385,No old price,TRUE,https://www.ikea.com/sa/en/p/norraker-norraker-bar-table-and-2-bar-stools-black-black-s79241940/,No,"        Bar table and 2 bar stools,          74 cm",J Karlsson/N Karlsson,,104,74
1871,69253146,STUVA / FRITIDS,Nursery furniture,810,No old price,TRUE,https://www.ikea.com/sa/en/p/stuva-fritids-changing-table-with-drawers-white-white-s69253146/,Yes,"        Changing table with drawers,          90x79x102 cm",Ebba Strandmark/IKEA of Sweden,79,102,90
2206,10424621,KNOPPARP,Sofas & armchairs,345,No old price,TRUE,https://www.ikea.com/sa/en/p/knopparp-2-seat-sofa-knisa-light-grey-10424621/,Yes,        2-seat sofa,"104.246.21 KNOPPARP sofa is very durable thanks to the metal construction and strong supporting fabric.Thanks to the innovative construction, we can use less materials and foam when we make KNOPPARP sofa, while the padded cover ensures that the comfort is maintained.A sofa with small, neat dimensions which is easy to furnish with, even when space is limited. This cover is made from KNISA fabric in polyester, which is dope-dyed. It’s a durable material which has a soft feel.The dope-dyeing process reduces consumption of water and dyestuff compared to traditional dyeing techniques.The cover is easy to keep clean as it is removable and can be machine washed.Easy to bring home if you choose to carry it on your own. The packaging is just over one metre in height and weighs 17 kg.10 year guarantee. Read about the terms in the guarantee brochure.This cover’s ability to resist abrasion has been tested to handle 40,000 cycles. 15,000 cycles or more is suitable for furniture used every day at home. Over 30,000 cycles means a good ability to resist abrasion.The cover has a lightfastness level of 5-6 (the ability to resist colour fading) on a scale of 1 to 8. According to industry standards, a lightfastness level of 4 or higher is suitable for home use.",76,70,119
2828,80251358,LINNMON,Tables & desks,225,SR 250,TRUE,https://www.ikea.com/sa/en/p/linnmon-table-top-black-brown-80251358/,Yes,"        Table top,          200x60 cm",IKEA of Sweden,,,60
1684,20341003,ERIK,Chests of drawers & drawer units,395,No old price,TRUE,https://www.ikea.com/sa/en/p/erik-drawer-unit-w-3-drawers-on-castors-black-20341003/,Yes,"        Drawer unit w 3 drawers on castors,          41x57 cm",IKEA of Sweden,50,57,41
