product_page_link,product_product_name,product_product_size,product_describe,product_price_now,product_img,product_product_size_url
https://www.ikea.com/sa/en/p/smastad-platsa-wardrobe-white-with-frame-with-2-clothes-rails-s19426357/,SMÅSTAD / PLATSA,60x42x181 cm,"Wardrobe, white with frame/with 2 clothes rails,",SR 969,https://www.ikea.com/sa/en/images/products/smastad-platsa-wardrobe-white-with-frame-with-2-clothes-rails__0925752_pe788863_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/smastad-platsa-wardrobe-white-with-frame-with-2-clothes-rails__0936462_pe793262_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/smastad-platsa-wardrobe-white-with-frame-with-2-clothes-rails__0936448_pe793255_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/smastad-platsa-wardrobe-white-with-frame-with-2-clothes-rails__1009069_pe827440_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/smastad-platsa-wardrobe-white-with-frame-with-2-clothes-rails__0945148_pe797574_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/smastad-platsa-wardrobe-white-with-frame-with-2-clothes-rails__1225405_pe915314_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/norrmansoe-chair-outdoor-in-outdoor-beige-acacia-40511080/,NORRMANSÖ,,"Chair, outdoor, in/outdoor beige/acacia",SR 365,https://www.ikea.com/sa/en/images/products/norrmansoe-chair-outdoor-in-outdoor-beige-acacia__1077696_pe856975_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/norrmansoe-chair-outdoor-in-outdoor-beige-acacia__1084331_pe859610_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/norrmansoe-chair-outdoor-in-outdoor-beige-acacia__1077691_pe856973_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/norrmansoe-chair-outdoor-in-outdoor-beige-acacia__1077693_pe856978_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/norrmansoe-chair-outdoor-in-outdoor-beige-acacia__1077695_pe856977_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/norrmansoe-chair-outdoor-in-outdoor-beige-acacia__1077694_pe856976_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/norrmansoe-chair-outdoor-in-outdoor-beige-acacia__1078910_pe857322_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/norrmansoe-chair-outdoor-in-outdoor-beige-acacia__1079278_pe857482_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/moeckelby-fanbyn-table-and-6-chairs-oak-white-s19277036/,MÖCKELBY / FANBYN,235x100 cm,"Table and 6 chairs, oak/white,","SR 6,045",https://www.ikea.com/sa/en/images/products/moeckelby-fanbyn-table-and-6-chairs-oak-white__0738061_pe741344_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/moeckelby-fanbyn-table-and-6-chairs-oak-white__0652933_pe707692_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/moeckelby-fanbyn-table-and-6-chairs-oak-white__0949260_pe799598_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/moeckelby-fanbyn-table-and-6-chairs-oak-white__1001849_pe824506_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/burhult-sibbhult-wall-shelf-white-white-s89325963/,BURHULT / SIBBHULT,59x20 cm,"Wall shelf, white/white,",SR 31,https://www.ikea.com/sa/en/images/products/burhult-sibbhult-wall-shelf-white-white__0817489_pe774045_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/burhult-sibbhult-wall-shelf-white-white__0833965_pe778132_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/burhult-sibbhult-wall-shelf-white-white__1092766_pe863010_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/burhult-sibbhult-wall-shelf-white-white__0833966_pe778131_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/vedbo-armchair-gunnared-blue-50423573/,VEDBO,,"Armchair, Gunnared blue","SR 1,095",https://www.ikea.com/sa/en/images/products/vedbo-armchair-gunnared-blue__0634896_pe696809_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/vedbo-armchair-gunnared-blue__0708566_ph154665_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/vedbo-armchair-gunnared-blue__0837370_pe649528_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/vedbo-armchair-gunnared-blue__0837375_pe649530_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/vedbo-armchair-gunnared-blue__0837372_pe649529_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/vedbo-armchair-gunnared-blue__0632856_pe695638_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/brimnes-burhult-tv-storage-combination-white-s59398673/,BRIMNES / BURHULT,338x41x190 cm,"TV storage combination, white,","SR 2,385",https://www.ikea.com/sa/en/images/products/brimnes-burhult-tv-storage-combination-white__0943476_pe796944_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/brimnes-burhult-tv-storage-combination-white__0955671_pe803958_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/brimnes-burhult-tv-storage-combination-white__0464251_pe609339_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/brimnes-burhult-tv-storage-combination-white__0850000_pe725296_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/brimnes-burhult-tv-storage-combination-white__0463165_pe608599_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/brimnes-burhult-tv-storage-combination-white__0379940_pe554982_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/brimnes-burhult-tv-storage-combination-white__0851753_pe682360_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/brimnes-burhult-tv-storage-combination-white__0833966_pe778131_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/trofast-storage-combination-light-white-stained-pine-white-s09102532/,TROFAST,93x44x52 cm,"Storage combination, light white stained pine/white,",SR 605,https://www.ikea.com/sa/en/images/products/trofast-storage-combination-light-white-stained-pine-white__0351177_pe547499_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/trofast-storage-combination-light-white-stained-pine-white__0874641_pe649664_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/trofast-storage-combination-light-white-stained-pine-white__0874637_pe649663_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/trofast-storage-combination-light-white-stained-pine-white__1201933_pe905741_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/tosteroe-cover-for-furniture-set-dining-set-black-30292323/,TOSTERÖ,145x145 cm,"Cover for furniture set, dining set/black,",SR 269,https://www.ikea.com/sa/en/images/products/tosteroe-cover-for-furniture-set-dining-set-black__0709165_pe726848_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/tosteroe-cover-for-furniture-set-dining-set-black__1155842_pe886740_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/tosteroe-cover-for-furniture-set-dining-set-black__0907445_pe624148_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/tosteroe-cover-for-furniture-set-dining-set-black__0474221_pe615030_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/tosteroe-cover-for-furniture-set-dining-set-black__1177723_pe895421_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/tosteroe-cover-for-furniture-set-dining-set-black__0767780_pe754357_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/solleroen-armchair-outdoor-dark-grey-froesoen-duvholmen-beige-s19287714/,SOLLERÖN,,"Armchair, outdoor, dark grey/Frösön/Duvholmen beige","SR 1,520",https://www.ikea.com/sa/en/images/products/solleroen-armchair-outdoor-dark-grey-froesoen-duvholmen-beige__0729698_pe737086_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/solleroen-armchair-outdoor-dark-grey-froesoen-duvholmen-beige__0704211_pe725056_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/solleroen-armchair-outdoor-dark-grey-froesoen-duvholmen-beige__0719699_pe732151_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/solleroen-armchair-outdoor-dark-grey-froesoen-duvholmen-beige__0905478_pe673603_s5.jpg?f=s,
https://www.ikea.com/sa/en/p/hauga-high-cabinet-with-2-doors-grey-60415054/,HAUGA,70x199 cm,"High cabinet with 2 doors, grey,",SR 945,https://www.ikea.com/sa/en/images/products/hauga-high-cabinet-with-2-doors-grey__0914110_pe783850_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hauga-high-cabinet-with-2-doors-grey__0932665_pe791576_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hauga-high-cabinet-with-2-doors-grey__0932666_pe791577_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hauga-high-cabinet-with-2-doors-grey__0943798_pe797047_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hauga-high-cabinet-with-2-doors-grey__0943812_pe797056_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hauga-high-cabinet-with-2-doors-grey__0939470_pe794565_s5.jpg?f=s|https://www.ikea.com/sa/en/images/products/hauga-high-cabinet-with-2-doors-grey__0976561_ph172481_s5.jpg?f=s,
